Id,Category
1,63955
2,64432
3,64709
4,64177
5,61881
6,61655
7,63185
8,63934
9,58837
10,64178
11,64448
12,61369
13,63928
14,63413
15,63673
16,64715
17,61892
18,64952
19,61885
20,63690
21,63956
22,62673
23,61135
24,61105
25,64468
26,60355
27,64208
28,65227
29,63441
30,62907
31,63923
32,64953
33,61378
34,62663
35,64187
36,63446
37,63670
38,64436
39,59074
40,60872
41,60111
42,64437
43,64445
44,60340
45,64199
46,59597
47,63934
48,63182
49,59316
50,63424
51,60343
52,64456
53,61620
54,62402
55,63414
56,62647
57,62129
58,60337
59,64717
60,61649
61,63419
62,59605
63,60875
64,59570
65,59092
66,62409
67,60095
68,62922
69,59828
70,62649
71,60856
72,62925
73,62656
74,64443
75,62672
76,60348
77,60872
78,59071
79,59093
80,62135
81,61625
82,59839
83,63173
84,60602
85,64726
86,59338
87,63160
88,59832
89,59850
90,64197
91,58832
92,63688
93,60879
94,63165
95,59321
96,59314
97,60351
98,64196
99,64970
100,58828
101,64202
102,59081
103,62903
104,63415
105,63959
106,63168
107,64946
108,61642
109,60087
110,60621
111,62925
112,63165
113,60595
114,63446
115,62648
116,62163
117,65217
118,64974
119,59079
120,61881
121,59316
122,62151
123,60861
124,64193
125,62675
126,61882
127,59073
128,61616
129,62150
130,62418
131,64448
132,59337
133,62389
134,63685
135,63441
136,61888
137,61394
138,64724
139,59085
140,63437
141,62897
142,59594
143,64182
144,62902
145,63435
146,62671
147,64461
148,61126
149,61625
150,59597
151,62421
152,60592
153,61389
154,64706
155,60352
156,60883
157,62674
158,65215
159,59862
160,59059
161,64964
162,61132
163,59597
164,59338
165,61634
166,59840
167,59594
168,59331
169,59059
170,59075
171,65226
172,59316
173,62405
174,63175
175,61894
176,60605
177,64953
178,63177
179,61905
180,63186
181,63690
182,59062
183,63430
184,61109
185,61644
186,63668
187,59833
188,63940
189,60371
190,61628
191,60859
192,62404
193,60358
194,64183
195,60083
196,59585
197,64213
198,60097
199,64212
200,62152
201,63678
202,65205
203,59606
204,61362
205,60371
206,61890
207,64953
208,65225
209,59586
210,60359
211,58829
212,62404
213,61361
214,64203
215,63958
216,60098
217,61116
218,62925
219,58837
220,62669
221,65235
222,60615
223,59056
224,60607
225,59331
226,64980
227,63152
228,62925
229,59069
230,61641
231,62161
232,59059
233,60098
234,62165
235,64178
236,61120
237,64190
238,64688
239,63419
240,63441
241,64198
242,62678
243,59568
244,60373
245,65229
246,59316
247,63185
248,62670
249,63681
250,60884
251,60628
252,63929
253,64442
254,61655
255,61125
256,59585
257,64178
258,62166
259,59586
260,64947
261,61632
262,63699
263,60613
264,60351
265,61899
266,61398
267,64966
268,62932
269,59321
270,59317
271,62673
272,59095
273,61108
274,60105
275,64201
276,60351
277,64193
278,62679
279,63929
280,58830
281,60856
282,63160
283,59066
284,59591
285,64440
286,62925
287,61632
288,64971
289,61123
290,60879
291,64953
292,61634
293,63159
294,59314
295,62131
296,60104
297,62400
298,62164
299,61369
300,62925
301,59314
302,60611
303,59831
304,61633
305,59058
306,62400
307,64724
308,59068
309,63677
310,64981
311,59850
312,61897
313,64974
314,60625
315,64703
316,63152
317,59069
318,59314
319,59062
320,65203
321,62129
322,63426
323,62931
324,58831
325,62923
326,62419
327,62642
328,62925
329,60115
330,62161
331,59826
332,61877
333,61626
334,61110
335,65213
336,59325
337,60088
338,64973
339,60083
340,62925
341,62931
342,61120
343,62934
344,63434
345,61125
346,59059
347,63181
348,60106
349,63180
350,62167
351,59320
352,62135
353,61628
354,62419
355,60356
356,59825
357,61649
358,63437
359,59589
360,60373
361,62656
362,64187
363,65220
364,62921
365,62912
366,64439
367,64181
368,62642
369,64690
370,63934
371,64214
372,64953
373,59345
374,61648
375,61641
376,60101
377,60088
378,63152
379,62161
380,63927
381,62645
382,59585
383,59058
384,64953
385,62903
386,59569
387,65200
388,59316
389,59316
390,63167
391,61120
392,63411
393,64182
394,61625
395,63948
396,60336
397,62423
398,63417
399,64951
400,59348
401,64202
402,63695
403,61885
404,60361
405,63684
406,59851
407,61889
408,60861
409,64459
410,61368
411,64197
412,63153
413,64971
414,64182
415,60087
416,63666
417,60342
418,60109
419,64953
420,63673
421,64212
422,62670
423,64719
424,64448
425,65215
426,59321
427,62402
428,62133
429,59316
430,63927
431,62160
432,62143
433,60861
434,62384
435,64197
436,59348
437,64438
438,62925
439,59333
440,65224
441,62136
442,63169
443,61108
444,64716
445,59830
446,60869
447,60087
448,62926
449,61371
450,65212
451,64723
452,59575
453,61904
454,60109
455,64186
456,59580
457,60597
458,64944
459,59320
460,60871
461,60620
462,59059
463,60855
464,59597
465,59331
466,64721
467,62143
468,60865
469,64443
470,61625
471,65220
472,62423
473,59828
474,62665
475,62157
476,59568
477,62900
478,62674
479,63161
480,62402
481,61911
482,62132
483,62147
484,59826
485,62910
486,64700
487,61652
488,63939
489,60885
490,63926
491,61887
492,60856
493,62677
494,61891
495,64462
496,60088
497,60866
498,61625
499,64438
500,59331
501,64455
502,59574
503,59580
504,60881
505,65237
506,61644
507,60344
508,63185
509,61140
510,59850
511,63181
512,62660
513,60114
514,59319
515,62925
516,61646
517,61896
518,65212
519,63423
520,59599
521,59838
522,59077
523,59349
524,59832
525,61905
526,60861
527,62135
528,62167
529,64946
530,63937
531,63181
532,59089
533,62678
534,64448
535,60361
536,63159
537,60099
538,62419
539,59064
540,62133
541,61880
542,62658
543,64953
544,62674
545,62673
546,62925
547,62925
548,62658
549,59339
550,63438
551,60349
552,63435
553,59320
554,58836
555,64182
556,64952
557,62925
558,59085
559,64953
560,59336
561,59832
562,62647
563,64186
564,60867
565,64695
566,60871
567,64722
568,59086
569,60080
570,59581
571,62389
572,59344
573,63177
574,64697
575,60111
576,59316
577,64181
578,61116
579,59077
580,61628
581,63423
582,65216
583,64975
584,63437
585,60100
586,59060
587,60100
588,64717
589,59851
590,59861
591,59059
592,61122
593,61368
594,62412
595,60375
596,63152
597,59584
598,63668
599,62673
600,58827
601,59597
602,59586
603,62663
604,62923
605,63168
606,59836
607,62917
608,64433
609,59322
610,64456
611,63177
612,61397
613,59326
614,61890
615,62643
616,59601
617,60882
618,59572
619,60103
620,64953
621,61888
622,64953
623,62903
624,64187
625,63185
626,63168
627,65221
628,60352
629,61628
630,63937
631,64447
632,64466
633,59089
634,62390
635,65203
636,64705
637,65211
638,60349
639,60597
640,63168
641,63164
642,61111
643,63681
644,62128
645,61120
646,62934
647,65200
648,64978
649,61398
650,62921
651,59572
652,62167
653,63157
654,59584
655,61373
656,63957
657,64963
658,59577
659,63446
660,62925
661,60861
662,60082
663,64459
664,62395
665,61377
666,64440
667,62135
668,61911
669,64953
670,59827
671,62138
672,62917
673,59068
674,63172
675,63152
676,64699
677,64959
678,60620
679,62137
680,63423
681,64470
682,60608
683,64953
684,60360
685,59837
686,62132
687,65214
688,59064
689,62161
690,62649
691,59314
692,60117
693,64445
694,62672
695,60090
696,59832
697,61132
698,64980
699,63419
700,64953
701,62673
702,60348
703,62668
704,60873
705,60876
706,62925
707,59569
708,61125
709,62161
710,64700
711,58833
712,65220
713,65226
714,59315
715,63431
716,63190
717,60110
718,59077
719,64981
720,61140
721,61373
722,63167
723,64186
724,62664
725,59847
726,60348
727,60362
728,59337
729,63943
730,60111
731,61896
732,59316
733,60102
734,60090
735,64177
736,62674
737,62152
738,62419
739,64179
740,63160
741,64951
742,61392
743,60359
744,59331
745,63430
746,62163
747,65220
748,63941
749,61638
750,62132
751,64968
752,62903
753,63429
754,61399
755,63942
756,62407
757,63670
758,62390
759,60369
760,62135
761,60344
762,61364
763,59578
764,63161
765,62931
766,62409
767,60630
768,60620
769,60592
770,65238
771,63952
772,62925
773,63156
774,61119
775,62921
776,62657
777,62387
778,62407
779,65238
780,60116
781,62421
782,61362
783,64963
784,63168
785,59582
786,64966
787,61374
788,63699
789,61618
790,62644
791,60611
792,65232
793,63693
794,59348
795,63179
796,63412
797,63684
798,60081
799,61368
800,62925
801,61641
802,59079
803,60361
804,62143
805,64452
806,60117
807,60594
808,62163
809,60859
810,64440
811,64203
812,64184
813,59342
814,63413
815,61646
816,62925
817,64448
818,60609
819,60106
820,63939
821,59568
822,62671
823,59587
824,63179
825,60616
826,60864
827,63939
828,64966
829,59066
830,61639
831,61361
832,59331
833,62163
834,60595
835,64696
836,60614
837,59834
838,61125
839,59084
840,65220
841,59597
842,64707
843,59597
844,63152
845,64189
846,60339
847,61104
848,62917
849,63423
850,62907
851,62418
852,59847
853,65210
854,61368
855,62920
856,64980
857,61887
858,61638
859,60360
860,63957
861,59336
862,64462
863,63927
864,65236
865,64448
866,60861
867,60621
868,64973
869,64468
870,59348
871,61137
872,62666
873,62167
874,62921
875,60105
876,62673
877,64969
878,62926
879,59850
880,64955
881,63419
882,62656
883,63957
884,62161
885,63690
886,64709
887,61649
888,60595
889,64709
890,65216
891,64448
892,60630
893,64464
894,64178
895,59066
896,60354
897,63176
898,59057
899,59839
900,63419
901,62661
902,61645
903,62925
904,61628
905,61397
906,61376
907,59603
908,59604
909,58830
910,64434
911,59350
912,62666
913,62920
914,59335
915,59079
916,60359
917,59591
918,62925
919,62423
920,62921
921,59061
922,60592
923,59347
924,63437
925,63693
926,64953
927,61392
928,61362
929,59313
930,64722
931,59076
932,63416
933,63160
934,60354
935,59828
936,60105
937,65220
938,62157
939,63170
940,62925
941,60870
942,61389
943,64700
944,64452
945,59852
946,62922
947,65222
948,62925
949,62913
950,59316
951,65206
952,59329
953,64711
954,60087
955,62409
956,64470
957,59836
958,63429
959,64193
960,62925
961,65236
962,62931
963,59592
964,59601
965,60359
966,59063
967,62925
968,62925
969,60089
970,59605
971,59327
972,60098
973,59607
974,62422
975,62921
976,63672
977,59322
978,60605
979,62385
980,60088
981,62925
982,59597
983,60866
984,61617
985,62925
986,64212
987,63688
988,64186
989,64177
990,62934
991,61120
992,61135
993,62925
994,60361
995,64698
996,59857
997,62662
998,64689
999,60358
1000,64953
1001,64953
1002,63437
1003,61386
1004,61901
1005,60115
1006,63695
1007,62131
1008,63153
1009,65216
1010,60365
1011,59088
1012,63931
1013,60848
1014,62135
1015,61628
1016,60592
1017,62925
1018,64460
1019,61628
1020,59059
1021,61141
1022,62128
1023,59342
1024,60085
1025,63928
1026,62158
1027,61140
